Name of Lending Institution,HQ State,Rank,TA Ratio1,TBL Ratio1,"Amount ($1,000)",Number ,Lender Asset Size,"Amount ($1,000)",Number ,,"Amount ($1,000)",Number ,CC Amount/TA1
Huntington Bancshares Inc.,OH ,13,0.069,0.222," 3,914,846 "," 34,732 ", >$50B                ," 635,757 "," 20,531 ",," 3,279,089 "," 14,201 ",0
Bancorpsouth Inc.,MS ,15,0.125,0.404," 1,646,169 "," 15,882 ", $10B-$50B            ," 206,856 "," 9,441 ",," 1,439,313 "," 6,441 ",    .  
TCF Financial Corp,MN ,16,0.094,0.370," 1,676,064 "," 19,823 ", $10B-$50B            ," 300,863 "," 11,240 ",," 1,375,201 "," 8,583 ",0
GE Capital Retail Bk*                 ,UT,17,0.042,1.000," 1,133,624 "," 716,231 ", >$10B                ," 1,133,624 "," 716,231 ",, -   , -   ,    .  
JPMorgan Chase & Co ,NY ,18,0.019,0.219," 25,003,294 "," 2,893,892 ", >$50B                ," 13,410,165 "," 2,836,551 ",," 11,593,129 "," 57,341 ",0.06
Citigroup ,NY ,19,0.013,0.262," 9,081,426 "," 1,746,916 ", >$50B                ," 5,587,076 "," 1,732,920 ",," 3,494,350 "," 13,996 ",0.1
Popular ,PR ,19,0.071,0.258," 2,464,690 "," 22,703 ", $10B-$50B            ," 164,682 "," 11,809 ",," 2,300,008 "," 10,894 ",0.03
Hancock Holding Company,MS ,19,0.092,0.299," 1,775,410 "," 18,706 ", $10B-$50B            ," 194,239 "," 11,452 ",," 1,581,171 "," 7,254 ",0
M&T Bk Corp ,NY ,22,0.068,0.178," 5,560,491 "," 56,151 ", >$50B                ," 1,087,373 "," 37,405 ",," 4,473,118 "," 18,746 ",0
Bank of Amer Corp ,NC ,23,0.020,0.182," 31,042,181 "," 3,277,274 ", >$50B                ," 14,191,509 "," 3,220,135 ",," 16,850,672 "," 57,139 ",0.07
Central Bancompany ,MO ,24,0.110,0.389," 1,113,344 "," 14,445 ", $10B-$50B            ," 148,800 "," 10,113 ",," 964,544 "," 4,332 ",    .  
Arvest Bk Grp. ,AR ,25,0.086,0.345," 1,167,974 "," 14,601 ", $10B-$50B            ," 173,673 "," 9,471 ",," 994,301 "," 5,130 ",    .  
Compass Bk ,AL ,26,0.049,0.172," 3,445,358 "," 169,539 ", >$50B                ," 613,869 "," 158,533 ",," 2,831,489 "," 11,006 ",0.01
Wells Fargo & Co ,CA ,27,0.029,0.146," 34,570,389 "," 617,508 ", >$50B                ," 8,416,000 "," 510,097 ",," 26,154,389 "," 107,411 ",0.01
PNC Financial Svc. Group ,PA ,28,0.036,0.143," 10,537,942 "," 220,200 ", >$50B                ," 2,103,528 "," 184,380 ",," 8,434,414 "," 35,820 ",0.01
Bank of The West ,CA ,29,0.047,0.209," 3,645,716 "," 38,919 ", >$50B                ," 592,967 "," 28,097 ",," 3,052,749 "," 10,822 ",0
BMO Harris Bank NA,IL ,30,0.042,0.201," 3,849,439 "," 46,887 ", >$50B                ," 424,404 "," 33,066 ",," 3,425,035 "," 13,821 ",0
Umpqua HC,OR ,31,0.110,0.255," 1,264,035 "," 9,351 ", $10B-$50B            ," 97,474 "," 4,764 ",," 1,166,561 "," 4,587 ",    .  
T D Bk NA,DE ,32,0.030,0.192," 6,197,769 "," 56,364 ", >$50B                ," 607,176 "," 34,709 ",," 5,590,593 "," 21,655 ",0
Cullen/Frost Bkr ,TX ,33,0.067,0.238," 1,411,367 "," 11,708 ", $10B-$50B            ," 146,892 "," 5,664 ",," 1,264,475 "," 6,044 ",    .  
First Horizon Nat Corp. ,TN ,34,0.052,0.213," 1,315,603 "," 27,253 ", $10B-$50B            ," 193,649 "," 21,766 ",," 1,121,954 "," 5,487 ",0.01
Commerce Bancshares ,MO ,34,0.051,0.268," 1,058,791 "," 25,561 ", $10B-$50B            ," 141,422 "," 21,129 ",," 917,369 "," 4,432 ",    .  
Suntrust Bk ,GA ,36,0.036,0.142," 6,179,640 "," 57,543 ", >$50B                ," 1,211,554 "," 38,709 ",," 4,968,086 "," 18,834 ",0
Susquehanna Bancshares,PA ,37,0.068,0.222," 1,221,505 "," 10,307 ", $10B-$50B            ," 107,814 "," 5,054 ",," 1,113,691 "," 5,253 ",    .  
Associated Banc Corp. ,WI ,38,0.059,0.191," 1,279,224 "," 28,926 ", $10B-$50B            ," 114,220 "," 16,185 ",," 1,165,004 "," 12,741 ",0
Fifth Third Bancorp,OH ,39,0.035,0.114," 4,051,406 "," 71,778 ", >$50B                ," 529,222 "," 56,554 ",," 3,522,184 "," 15,224 ",0.02
Keycorp ,OH ,40,0.038,0.139," 3,186,664 "," 58,231 ", >$50B                ," 618,444 "," 46,548 ",," 2,568,220 "," 11,683 ",0
Prosperity Bancshares,TX ,40,0.065,0.405," 699,037 "," 4,936 ", $10B-$50B            ," 65,093 "," 2,370 ",," 633,944 "," 2,566 ",    .  
Firstmerit Corp. ,OH ,42,0.078,0.218," 1,138,055 "," 6,599 ", $10B-$50B            ," 72,983 "," 2,505 ",," 1,065,072 "," 4,094 ",    .  
Valley Nat Bancorp,NJ ,43,0.074,0.208," 1,180,078 "," 5,034 ", $10B-$50B            ," 46,789 "," 1,523 ",," 1,133,289 "," 3,511 ",    .  
Webster Financial Corp. ,CT ,44,0.057,0.222," 1,111,695 "," 13,799 ", $10B-$50B            ," 195,179 "," 8,562 ",," 916,516 "," 5,237 ",0
Peoples United Bk             ,CT,45,0.066,0.157," 1,856,969 "," 12,948 ", >$10B                ," 158,228 "," 6,439 ",," 1,698,741 "," 6,509 ",0
RBS Citizens NA ,RI ,46,0.023,0.108," 3,241,138 "," 62,262 ", >$50B                ," 749,241 "," 51,728 ",," 2,491,897 "," 10,534 ",0.01
Sovereign Bk NA,DE ,47,0.032,0.126," 2,796,643 "," 34,502 ", >$50B                ," 607,928 "," 20,916 ",," 2,188,715 "," 13,586 ",0
Discover Financial Services,IL ,48,0.003,1.000," 206,777 "," 112,259 ", >$50B                ," 206,777 "," 112,259 ",, -   , -   ,    .  
East W Bancorp,CA ,49,0.065,0.160," 1,350,924 "," 5,039 ", $10B-$50B            ," 20,523 ", 919 ,," 1,330,401 "," 4,120 ",0
Comerica ,TX ,50,0.046,0.089," 2,839,695 "," 16,366 ", >$50B                ," 182,858 "," 6,635 ",," 2,656,837 "," 9,731 ",0
Ally Financial ,MI ,51,0.022,0.066," 1,964,564 "," 68,244 ", >$50B                ," 1,741,122 "," 67,679 ",," 223,442 ", 565 ,    .  
Iberiabank Corp. ,LA ,52,0.063,0.183," 758,549 "," 5,125 ", $10B-$50B            ," 50,189 "," 2,317 ",," 708,360 "," 2,808 ",    .  
Firstbank Holding Company,CO ,53,0.036,0.308," 434,896 "," 7,076 ", $10B-$50B            ," 33,664 "," 5,740 ",," 401,232 "," 1,336 ",    .  
Barclays Bk DE ,DE ,54,0.007,0.972," 114,360 "," 26,447 ", $10B-$50B            ," 112,694 "," 26,443 ",," 1,666 ", 4 ,    .  
Rabobank NA ,CA ,55,0.051,0.172," 599,000 "," 9,943 ", $10B-$50B            ," 77,000 "," 7,870 ",," 522,000 "," 2,073 ",    .  
UMB Financial Corp,MO ,56,0.051,0.188," 684,053 "," 4,552 ", $10B-$50B            ," 56,126 "," 2,222 ",," 627,927 "," 2,330 ",    .  
Cathay Gen. Bancorp,CA ,57,0.068,0.144," 707,069 "," 3,134 ", $10B-$50B            ," 40,574 "," 1,147 ",," 666,495 "," 1,987 ",0
GE Capital Bk                     ,UT,58,0.054,0.069," 735,067 "," 17,830 ", >$10B                ," 293,449 "," 15,274 ",," 441,618 "," 2,556 ",    .  
International Bshrs Corp. ,TX ,59,0.042,0.212," 478,638 "," 4,230 ", $10B-$50B            ," 63,952 "," 2,522 ",," 414,686 "," 1,708 ",    .  
Signature Bk                  ,NY,60,0.041,0.170," 658,569 "," 3,136 ", >$10B                ," 48,718 "," 1,392 ",," 609,851 "," 1,744 ",    .  
BOK Financial Corp,OK ,61,0.038,0.129," 959,892 "," 4,390 ", $10B-$50B            ," 76,018 "," 2,165 ",," 883,874 "," 2,225 ",0
First Bancorp ,PR ,62,0.048,0.136," 607,796 "," 2,919 ", $10B-$50B            ," 42,713 "," 1,298 ",," 565,083 "," 1,621 ",0.03
Union Bk NA ,CA ,63,0.016,0.063," 1,372,869 "," 11,632 ", >$50B                ," 195,528 "," 7,316 ",," 1,177,341 "," 4,316 ",0
BankUnited ,FL ,64,0.031,0.202," 381,448 "," 3,098 ", $10B-$50B            ," 63,209 "," 2,090 ",," 318,239 "," 1,008 ",    .  
Bank of HI Corp. ,HI ,65,0.019,0.204," 256,052 "," 3,820 ", $10B-$50B            ," 62,413 "," 3,112 ",," 193,639 ", 708 ,0
State Farm Bk FSB         ,IL,66,0.011,0.164," 163,053 "," 18,808 ", >$10B                ," 98,274 "," 18,615 ",," 64,779 ", 193 ,    .  
HSBC Bk USA NA,VA ,67,0.006,0.058," 1,126,858 "," 19,558 ", >$50B                ," 305,390 "," 16,381 ",," 821,468 "," 3,177 ",0
Washington Fed.                ,WA,67,0.013,0.239," 174,663 ", 984 , >$10B                ," 12,258 ", 439 ,," 162,405 ", 545 ,    .  
Scottrade Bk                  ,MO,69,0.004,0.527," 64,835 ", 121 , >$10B                , 144 , 2 ,," 64,691 ", 119 ,    .  
Astoria FS & LA               ,NY,70,0.010,0.256," 169,440 ", 710 , >$10B                ," 5,764 ", 292 ,," 163,676 ", 418 ,    .  
Hudson City Svg Bk FSB        ,NJ,71,0.001,1.000," 42,358 ", 86 , >$10B                , 221 , 13 ,," 42,137 ", 73 ,    .  
Svb Financial Grp. ,CA ,72,0.019,0.079," 390,367 "," 5,182 ", $10B-$50B            ," 29,565 "," 3,458 ",," 360,802 "," 1,724 ",0
UBS Bk USA,UT ,73,0.014,0.139," 588,440 "," 1,765 ", $10B-$50B            ," 19,037 ", 417 ,," 569,403 "," 1,348 ",    .  
City Nat Corp. ,CA ,74,0.021,0.068," 514,444 "," 3,595 ", $10B-$50B            ," 46,777 "," 1,505 ",," 467,667 "," 2,090 ",0
Privatebancorp ,IL ,75,0.035,0.058," 446,034 "," 2,086 ", $10B-$50B            ," 17,537 ", 722 ,," 428,497 "," 1,364 ",    .  
Northern Trust Corp. ,IL ,76,0.009,0.085," 636,415 "," 2,773 ", >$50B                ," 23,984 ", 680 ,," 612,431 "," 2,093 ",0
USAA FSB                  ,TX,77,0.000,1.000, 436 , 2 , >$10B                , 436 , 2 ,, -   , -   ,    .  
Investors Bancorp MHC,NJ ,78,0.016,0.111," 180,865 ", 717 , $10B-$50B            ," 6,028 ", 208 ,," 174,837 ", 509 ,    .  
New York Cmnty BC ,NY ,79,0.011,0.064," 495,681 "," 1,410 ", $10B-$50B            ," 6,227 ", 171 ,," 489,454 "," 1,239 ",    .  
First Republic Bk             ,CA,80,0.010,0.078," 317,825 "," 1,239 ", >$10B                ," 14,440 ", 344 ,," 303,385 ", 895 ,    .  
Everbank                      ,FL,81,0.011,0.104," 159,411 ", 652 , >$10B                ," 3,994 ", 148 ,," 155,417 ", 504 ,    .  
New York Private B&TR Corp. ,NY ,82,0.012,0.088," 141,181 ", 486 , $10B-$50B            ," 1,632 ", 20 ,," 139,549 ", 466 ,    .  
Morgan Stanley Bk NA ,UT ,83,0.003,0.041," 261,157 ", 834 , >$50B                ," 10,000 ", 203 ,," 251,157 ", 631 ,    .  
Flagstar Bk FSB               ,MI,84,0.007,0.069," 94,100 ", 405 , >$10B                ," 2,385 ", 123 ,," 91,715 ", 282 ,    .  
Onewest Bk FSB              ,CA,85,0.004,0.050," 107,724 ", 406 , >$10B                , 356 , 22 ,," 107,368 ", 384 ,    .  
Bank of NY Mellon Corp. ,NY ,86,0.000,0.048," 55,544 ", 351 , >$50B                ," 4,995 ", 188 ,," 50,549 ", 163 ,0
Goldman Sachs Group The ,NY ,87,0.000,0.001," 4,000 ", 6 , >$50B                , -   , -   ,," 4,000 ", 6 ,0
Deutsche Bk Tc Americas ,NY ,88,0.000,0.000," 2,000 ", 4 , $10B-$50B            , -   , 1 ,," 2,000 ", 3 ,0
USAA Svg. Bank                   ,NV,NR,0.000,-, -   , 1 , >$10B                , -   , 1 ,, -   , -   ,    .  
State Street Corp. ,MA ,NR,-,-,-,-,>$50B               , -   , -   ,, -   , -   ,0
E Trade Bk                    ,VA,NR,-,-,-,-,>$10B               , -   , -   ,, -   , -   ,    .  
Charles Schwab Bk             ,NV,NR,-,-,-,-,>$10B               , -   , -   ,, -   , -   ,    .  
Third FS&LA                   ,OH,NR,-,-,-,-,>$10B               , -   , -   ,, -   , -   ,    .  
"*The bank was formerly known as GE Money Bank, and was renamed in October 2012.",,,,,,,,,,,,,
1 TA = total domestic assets held by the lender; TBL = total business loans held by the lender; and CC=credit card loans held by the lender.,,,,,,,,,,,,,
"Source: U.S. Small Business Administration, Office of Advocacy, from Call Report data.",,,,,,,,,,,,,
